ville,prix_appartement,min_appartement,max_appartement,prix_maison,min_maison,max_maison,loyer_appartement,loyer_min_appartement,loyer_max_appartement,loyer_maison,loyer_min_maison,loyer_max_maison,prix_global,min_global,max_global,loyer_global,loyer_min_global,loyer_max_global,ratio_m2_apt,ratio_m2_msn,ratio_m2_glb,Taux_Global_TFB,Code_insee,Code_postal,Departement,geo,INDICE_TENSION_LOG,CROI_POP_16_22,
Auvers-sous-Montfaucon,1599,1220,2058,1668,915,3011,9.8,6.7,15.5,9.2,7.7,11.4,1633.5,1067.5,2534.5,9.5,7.2,13.45,7.35,6.62,6.98,0.3489,72017,72540,Sarthe,"Auvers-sous-Montfaucon, Sarthe, France",0.246,-6.53,
Avesnes-en-Saosnois,1608,1022,2276,1203,481,2405,11.7,7.9,19.2,10.1,7.4,13.4,1405.5,751.5,2340.5,10.9,7.65,16.3,8.73,10.07,9.31,0.3559,72018,72260,Sarthe,"Avesnes-en-Saosnois, Sarthe, France",0.168,-1.12,
Avessé,1831,1060,2237,1332,533,2508,10.4,7.2,16.8,8.8,6.9,11.1,1581.5,796.5,2372.5,9.6,7.05,13.95,6.82,7.93,7.28,0.4092,72019,72350,Sarthe,"Avessé, Sarthe, France",0.254,-9.46,
Avezé,1551,983,2197,1463,585,2812,13.4,9.6,20.2,10.9,8.7,16.7,1507,784,2504.5,12.15,9.15,18.45,10.37,8.94,9.67,0.3586,72020,72400,Sarthe,"Avezé, Sarthe, France",0.269,-6.11,
Avoise,1861,1045,2257,1426,570,2711,9.8,6.7,17.2,7.7,5.4,10.3,1643.5,807.5,2484,8.75,6.05,13.75,6.32,6.48,6.39,0.4233,72021,72430,Sarthe,"Avoise, Sarthe, France",0.259,-8.63,
Le Bailleul,1880,1015,2265,1461,584,2691,9.7,6.6,17.2,9.8,7.3,14,1670.5,799.5,2478,9.75,6.95,15.6,6.19,8.05,7.00,0.4545,72022,72200,Sarthe,"Le Bailleul, Sarthe, France",0.31,-2.09,
Ballon-st Mars,1674,1063,2418,1290,516,2376,9.4,6.4,13.7,9.1,7.7,12.6,1482,789.5,2397,9.25,7.05,13.15,6.74,8.47,7.49,0.4396,72023,72290,Sarthe,"Ballon-st Mars, Sarthe, France",0.331,2.67,
La Bazoge,2242,1297,3115,1911,764,2931,11.2,8.3,14.5,10.2,8.7,13.1,2076.5,1030.5,3023,10.7,8.5,13.8,5.99,6.41,6.18,0.4255,72024,72650,Sarthe,"La Bazoge, Sarthe, France",0.411,2.49,
Bazouges Cré sur Loir,2345,1605,3143,1600,640,3018,11.2,8,15.3,12.1,8.9,16.1,1972.5,1122.5,3080.5,11.65,8.45,15.7,5.73,9.08,7.09,0.4626,72025,72200,Sarthe,"Bazouges Cré sur Loir, Sarthe, France",0.32,-6.22,
Beaufay,1490,949,2151,1613,660,2793,9.8,7.2,16.5,9.4,7,11.6,1551.5,804.5,2472,9.6,7.1,14.05,7.89,6.99,7.43,0.4905,72026,72110,Sarthe,"Beaufay, Sarthe, France",0.345,2.63,
Beaumont-sur-Dême,2374,1818,2942,1273,593,2546,11.2,8.6,15.1,10,7,12.8,1823.5,1205.5,2744,10.6,7.8,13.95,5.66,9.43,6.98,0.3955,72027,72340,Sarthe,"Beaumont-sur-Dême, Sarthe, France",0.249,-1.2,
Beaumont-sur-Sarthe,1400,861,2362,1270,508,2540,9.1,5.7,14.7,9,6.3,11.9,1335,684.5,2451,9.05,6,13.3,7.80,8.50,8.13,0.4031,72029,72170,Sarthe,"Beaumont-sur-Sarthe, Sarthe, France",0.269,0.87,
Beillé,1630,1032,2347,1334,553,2180,10.8,7.2,15.8,9.1,7.5,12.2,1482,792.5,2263.5,9.95,7.35,14,7.95,8.19,8.06,0.4121,72031,72160,Sarthe,"Beillé, Sarthe, France",0.291,2.84,
Berfay,1554,1095,2011,1260,504,2347,9.5,6.7,12.1,,,,1407,799.5,2179,4.75,3.35,6.05,7.34,0.00,4.05,0.4048,72032,72320,Sarthe,"Berfay, Sarthe, France",0.241,0.3,
Bérus,1268,624,2175,1784,791,2765,11.4,8.4,14.6,11,9,14.1,1526,707.5,2470,11.2,8.7,14.35,10.79,7.40,8.81,0.3553,72034,72610,Sarthe,"Bérus, Sarthe, France",0.296,-4.19,
Bessé-sur-Braye,1885,824,3381,1061,424,1971,9.3,5.9,14.3,9.4,5.8,12.5,1473,624,2676,9.35,5.85,13.4,5.92,10.63,7.62,0.4184,72035,72310,Sarthe,"Bessé-sur-Braye, Sarthe, France",0.205,-8.87,
Béthon,1560,1042,2151,1471,592,2465,10.4,7.1,16.7,9.2,6.8,12.1,1515.5,817,2308,9.8,6.95,14.4,8.00,7.51,7.76,0.4115,72036,72610,Sarthe,"Béthon, Sarthe, France",0.25,-9.2,
Blèves,1200,685,2350,1210,484,2372,9.8,5.4,17.2,8.9,6.6,12.3,1205,584.5,2361,9.35,6,14.75,9.80,8.83,9.31,0.4434,72037,72600,Sarthe,"Blèves, Sarthe, France",0.239,32.99,
Boëssé-le-Sec,1605,976,2342,1279,512,2140,9.6,6.8,16.5,9.1,6.7,11.8,1442,744,2241,9.35,6.75,14.15,7.18,8.54,7.78,0.2968,72038,72400,Sarthe,"Boëssé-le-Sec, Sarthe, France",0.237,-14.7,
Bonnétable,1575,964,2285,1323,529,2478,9.2,5.7,15.5,9.1,6.3,11.7,1449,746.5,2381.5,9.15,6,13.6,7.01,8.25,7.58,0.4413,72039,72110,Sarthe,"Bonnétable, Sarthe, France",0.299,-3.83,
La Bosse,2366,1363,4473,1617,740,2674,8.2,6.3,11.7,,,,1991.5,1051.5,3573.5,4.1,3.15,5.85,4.16,0.00,2.47,0.3725,72040,72400,Sarthe,"La Bosse, Sarthe, France",0.164,13.33,
Bouër,2364,1421,3448,1487,650,2627,13.7,9.5,22.7,10.7,8.5,14,1925.5,1035.5,3037.5,12.2,9,18.35,6.95,8.63,7.60,0.3372,72041,72390,Sarthe,"Bouër, Sarthe, France",0.309,8.64,
Bouloire,1804,983,2552,1445,578,2508,9.1,5.6,15.9,9.1,6.3,11.2,1624.5,780.5,2530,9.1,5.95,13.55,6.05,7.56,6.72,0.4933,72042,72440,Sarthe,"Bouloire, Sarthe, France",0.322,2.56,
Bourg-le-Roi,1230,733,2300,1149,460,1774,11.2,7.9,14.6,11.5,9.4,14.6,1189.5,596.5,2037,11.35,8.65,14.6,10.93,12.01,11.45,0.5131,72043,72610,Sarthe,"Bourg-le-Roi, Sarthe, France",0.245,6.01,
Bousse,1864,1017,2254,1245,534,2491,10.4,7.3,18.7,9.5,7.2,11.5,1554.5,775.5,2372.5,9.95,7.25,15.1,6.70,9.16,7.68,0.4434,72044,72270,Sarthe,"Bousse, Sarthe, France",0.265,-1.82,
Brains-sur-Gée,1579,1199,2027,1550,620,2730,10.6,8.6,14.3,10.2,8.4,12.2,1564.5,909.5,2378.5,10.4,8.5,13.25,8.06,7.90,7.98,0.3978,72045,72550,Sarthe,"Brains-sur-Gée, Sarthe, France",0.323,-3.82,
Le Breil-sur-Mérize,1543,1009,2253,1366,546,2091,10.2,7.5,17.1,9.1,6.8,11.8,1454.5,777.5,2172,9.65,7.15,14.45,7.93,7.99,7.96,0.5488,72046,72370,Sarthe,"Le Breil-sur-Mérize, Sarthe, France",0.363,1.36,
Brette-les-Pins,1964,1245,2988,1705,835,2555,12.4,9.6,18.1,11,9,14,1834.5,1040,2771.5,11.7,9.3,16.05,7.58,7.74,7.65,0.4739,72047,72250,Sarthe,"Brette-les-Pins, Sarthe, France",0.384,-0.98,
Briosne-lès-Sables,1642,1039,2374,1446,579,2430,10.6,8.1,17.6,8.9,6.6,12.1,1544,809,2402,9.75,7.35,14.85,7.75,7.39,7.58,0.3946,72048,72110,Sarthe,"Briosne-lès-Sables, Sarthe, France",0.289,-3.42,
La Bruère-sur-Loir,2029,1272,2883,1299,605,2408,9.2,5.7,14.7,9.8,7.2,13.6,1664,938.5,2645.5,9.5,6.45,14.15,5.44,9.05,6.85,0.3953,72049,72500,Sarthe,"La Bruère-sur-Loir, Sarthe, France",0.239,1.63,
Brûlon,1802,1105,2228,1284,514,2382,9.2,6.3,15.6,8.3,5.8,11.7,1543,809.5,2305,8.75,6.05,13.65,6.13,7.76,6.80,0.4648,72050,72350,Sarthe,"Brûlon, Sarthe, France",0.308,-5.22,
Cérans-Foulletourte,1603,1228,2065,1626,650,2791,10.4,6.9,18.8,9.6,7.4,11.8,1614.5,939,2428,10,7.15,15.3,7.79,7.08,7.43,0.4698,72051,72330,Sarthe,"Cérans-Foulletourte, Sarthe, France",0.397,-0.21,
Chahaignes,1573,774,2272,1323,627,2646,9.2,5.7,14.9,9.5,6.2,12.5,1448,700.5,2459,9.35,5.95,13.7,7.02,8.62,7.75,0.4133,72052,72340,Sarthe,"Chahaignes, Sarthe, France",0.224,-4.71,
Challes,1541,1049,2163,1609,644,2671,9.9,7.3,16.6,9.2,6.8,12.7,1575,846.5,2417,9.55,7.05,14.65,7.71,6.86,7.28,0.5133,72053,72250,Sarthe,"Challes, Sarthe, France",0.335,-4.84,
Champagné,1498,1043,2184,1782,713,2585,10.3,7.9,15.5,10.3,8.1,14.8,1640,878,2384.5,10.3,8,15.15,8.25,6.94,7.54,0.397,72054,72470,Sarthe,"Champagné, Sarthe, France",0.403,-4.59,
Champfleur,1543,1025,2119,1567,723,2587,11.2,7.8,18.3,10.1,8.1,11.8,1555,874,2353,10.65,7.95,15.05,8.71,7.73,8.22,0.4898,72056,72610,Sarthe,"Champfleur, Sarthe, France",0.345,-5.1,
Champrond,1525,1067,2034,1340,536,2110,11.7,7.9,19.2,10.1,7.4,13.4,1432.5,801.5,2072,10.9,7.65,16.3,9.21,9.04,9.13,0.2868,72057,72320,Sarthe,"Champrond, Sarthe, France",0.203,0,
Chantenay-Villedieu,1822,1108,2252,1285,514,2464,10.1,7,17.9,8.3,5.8,10.8,1553.5,811,2358,9.2,6.4,14.35,6.65,7.75,7.11,0.4407,72059,72430,Sarthe,"Chantenay-Villedieu, Sarthe, France",0.289,-5.01,
La Chapelle-aux-Choux,1447,867,2108,1133,473,2267,9.3,6.7,15.2,9.6,7.1,12.1,1290,670,2187.5,9.45,6.9,13.65,7.71,10.17,8.79,0.4038,72060,72800,Sarthe,"La Chapelle-aux-Choux, Sarthe, France",0.219,4.83,
La Chapelle-d'Aligné,1887,996,2269,1517,607,2986,10.7,6.9,18.1,9.8,6.7,13.4,1702,801.5,2627.5,10.25,6.8,15.75,6.80,7.75,7.23,0.4087,72061,72300,Sarthe,"La Chapelle-d'Aligné, Sarthe, France",0.366,2.01,
La Chapelle-du-Bois,1554,956,2235,1425,570,2335,9.6,7.2,12.3,9.1,7.1,12.9,1489.5,763,2285,9.35,7.15,12.6,7.41,7.66,7.53,0.3576,72062,72400,Sarthe,"La Chapelle-du-Bois, Sarthe, France",0.31,-11.38,
La Chapelle-Huon,1578,1130,2038,1204,482,2083,8.2,5.4,11.1,,,,1391,806,2060.5,4.1,2.7,5.55,6.24,0.00,3.54,0.39,72064,72310,Sarthe,"La Chapelle-Huon, Sarthe, France",0.253,-5.14,
La Chapelle-st-Aubin,2537,1470,3444,2111,915,2960,12.2,8.6,16.8,12,9.8,15.3,2324,1192.5,3202,12.1,9.2,16.05,5.77,6.82,6.25,0.4178,72065,72650,Sarthe,"La Chapelle-st-Aubin, Sarthe, France",0.34,-5.73,
La Chapelle-st-Fray,1735,1092,2531,1802,721,2948,10.5,8.6,16.4,10,6.8,12.2,1768.5,906.5,2739.5,10.25,7.7,14.3,7.26,6.66,6.96,0.4418,72066,72240,Sarthe,"La Chapelle-st-Fray, Sarthe, France",0.311,-7.27,
La Chapelle-st-Rémy,1648,1054,2375,1518,677,2502,11,7.7,16.4,9.1,7,11.8,1583,865.5,2438.5,10.05,7.35,14.1,8.01,7.19,7.62,0.4004,72067,72160,Sarthe,"La Chapelle-st-Rémy, Sarthe, France",0.347,2.36,
La Chartre-sur-le-Loir,1756,936,2344,1162,465,2298,11.7,7.9,19.2,10.1,7.4,13.4,1459,700.5,2321,10.9,7.65,16.3,8.00,10.43,8.97,0.3997,72068,72340,Sarthe,"La Chartre-sur-le-Loir, Sarthe, France",0.2,-4.86,
Chassillé,1602,1226,2059,1294,518,2589,10.6,7,17.2,9,7.2,11.5,1448,872,2324,9.8,7.1,14.35,7.94,8.35,8.12,0.3929,72070,72540,Sarthe,"Chassillé, Sarthe, France",0.241,3.31,
Montval-sur-Loir,1551,1030,2261,1274,509,2262,10.7,7,18.5,11.6,7.8,15.6,1412.5,769.5,2261.5,11.15,7.4,17.05,8.28,10.93,9.47,0.4775,72071,72500,Sarthe,"Montval-sur-Loir, Sarthe, France",0.286,-7.35,
Château-l'Hermitage,1601,1178,2066,1569,628,2469,10.4,7.6,16.6,9,6,11.2,1585,903,2267.5,9.7,6.8,13.9,7.80,6.88,7.34,0.3881,72072,72510,Sarthe,"Château-l'Hermitage, Sarthe, France",0.255,-3.04,
Chaufour-Notre-Dame,1710,1222,2229,1830,806,2779,10.6,8.6,13.9,11.1,8.6,13.6,1770,1014,2504,10.85,8.6,13.75,7.44,7.28,7.36,0.4798,72073,72550,Sarthe,"Chaufour-Notre-Dame, Sarthe, France",0.366,9.3,
Chemiré-en-Charnie,1446,771,2268,1378,551,2756,8.4,6.2,10.7,,,,1412,661,2512,4.2,3.1,5.35,6.97,0.00,3.57,0.3749,72074,72540,Sarthe,"Chemiré-en-Charnie, Sarthe, France",0.232,1.43,
Chemiré-le-Gaudin,1604,1222,2067,1571,659,2932,11.2,8.4,14.6,11.2,8.8,14.7,1587.5,940.5,2499.5,11.2,8.6,14.65,8.38,8.56,8.47,0.4613,72075,72210,Sarthe,"Chemiré-le-Gaudin, Sarthe, France",0.332,2.79,
Chenay,1268,624,2175,1680,971,2231,12.4,8.7,15.5,11.1,8.9,14.3,1474,797.5,2203,11.75,8.8,14.9,11.74,7.93,9.57,0.4829,72076,72610,Sarthe,"Chenay, Sarthe, France",0.288,14.6,
Chenu,1848,1183,2437,1120,448,2240,9.1,5.7,14.7,10.1,7.1,12.5,1484,815.5,2338.5,9.6,6.4,13.6,5.91,10.82,7.76,0.3949,72077,72500,Sarthe,"Chenu, Sarthe, France",0.217,1.16,
Chérisay,1605,1046,2247,1497,599,2459,12.3,9.2,15.6,9.9,7.5,11.8,1551,822.5,2353,11.1,8.35,13.7,9.20,7.94,8.59,0.4288,72079,72610,Sarthe,"Chérisay, Sarthe, France",0.273,0.33,
Cherreau,2456,1431,3633,1495,665,2991,12.5,9.2,19.2,10.3,7.8,14.8,1975.5,1048,3312,11.4,8.5,17,6.11,8.27,6.92,0.3183,72080,72400,Sarthe,"Cherreau, Sarthe, France",0.377,2.27,
Chevillé,1822,1104,2254,1416,566,2831,10.8,7.5,18.5,8.6,5.9,11.4,1619,835,2542.5,9.7,6.7,14.95,7.11,7.29,7.19,0.3864,72083,72350,Sarthe,"Chevillé, Sarthe, France",0.226,-12.93,
Clermont-Créans,1839,1008,2238,1544,618,2831,10.5,7.2,18.8,9.2,5.8,11.2,1691.5,813,2534.5,9.85,6.5,15,6.85,7.15,6.99,0.4719,72084,72200,Sarthe,"Clermont-Créans, Sarthe, France",0.31,0.79,
Cogners,1874,818,3340,1253,501,2457,9.3,5.8,15,9.6,6,12.4,1563.5,659.5,2898.5,9.45,5.9,13.7,5.96,9.19,7.25,0.4194,72085,72310,Sarthe,"Cogners, Sarthe, France",0.209,-8.76,
Commerveil,1580,1017,2217,1319,528,2419,12.7,9.7,15.6,9.6,6,14.5,1449.5,772.5,2318,11.15,7.85,15.05,9.65,8.73,9.23,0.3306,72086,72600,Sarthe,"Commerveil, Sarthe, France",0.191,2.99,
Conflans-sur-Anille,1564,1112,2019,1231,493,2463,8.9,6.7,10.2,8.5,5.9,11.8,1397.5,802.5,2241,8.7,6.3,11,6.83,8.29,7.47,0.3891,72087,72120,Sarthe,"Conflans-sur-Anille, Sarthe, France",0.204,-13.04,
Congé-sur-Orne,2237,1301,3103,1158,463,2177,11.2,9.6,18.9,9.7,8.1,11.7,1697.5,882,2640,10.45,8.85,15.3,6.01,10.05,7.39,0.3897,72088,72290,Sarthe,"Congé-sur-Orne, Sarthe, France",0.294,-8.05,
Conlie,1749,1075,2537,1447,579,2675,9.1,5.7,16.4,9.2,6,12.7,1598,827,2606,9.15,5.85,14.55,6.24,7.63,6.87,0.4244,72089,72240,Sarthe,"Conlie, Sarthe, France",0.308,-2.66,
Connerré,1968,1200,2926,1503,624,2421,9.2,5.7,14.1,9.1,6.6,12.2,1735.5,912,2673.5,9.15,6.15,13.15,5.61,7.27,6.33,0.5047,72090,72160,Sarthe,"Connerré, Sarthe, France",0.348,-2.14,
Contilly,1266,709,2278,1320,528,2484,12.3,8.2,20.5,10.1,8.6,12.7,1293,618.5,2381,11.2,8.4,16.6,11.66,9.18,10.39,0.3628,72091,72600,Sarthe,"Contilly, Sarthe, France",0.215,-4.93,
Cormes,1575,1072,2145,1629,652,3258,9.6,7.3,12.4,8.6,6.2,11.3,1602,862,2701.5,9.1,6.75,11.85,7.31,6.34,6.82,0.3421,72093,72400,Sarthe,"Cormes, Sarthe, France",0.308,-2.74,
Coudrecieux,1526,983,2192,1136,454,2272,11.5,8.8,17.2,10,7,12.7,1331,718.5,2232,10.75,7.9,14.95,9.04,10.56,9.69,0.4318,72094,72440,Sarthe,"Coudrecieux, Sarthe, France",0.273,3.07,
Coulaines,2092,1186,3702,2055,1151,3175,11.9,8,19.5,10.5,6.8,14,2073.5,1168.5,3438.5,11.2,7.4,16.75,6.83,6.13,6.48,0.5203,72095,72190,Sarthe,"Coulaines, Sarthe, France",0.358,8.08,
Coulans-sur-Gée,2407,1366,3317,1635,654,2719,10.6,8.5,14.2,11.1,9.4,13,2021,1010,3018,10.85,8.95,13.6,5.28,8.15,6.44,0.3578,72096,72550,Sarthe,"Coulans-sur-Gée, Sarthe, France",0.348,-1.46,
Coulongé,1579,1163,2044,1294,518,2437,9.8,7.1,12.4,,,,1436.5,840.5,2240.5,4.9,3.55,6.2,7.45,0.00,4.09,0.4318,72098,72800,Sarthe,"Coulongé, Sarthe, France",0.258,-2.85,
Courcebœufs,1676,1068,2419,1543,740,2376,11.2,9.6,18.9,10.6,8.7,12.6,1609.5,904,2397.5,10.9,9.15,15.75,8.02,8.24,8.13,0.4563,72099,72290,Sarthe,"Courcebœufs, Sarthe, France",0.31,0.79,
Courcelles-la-Forêt,1598,1229,2055,1329,531,2571,10.3,7.6,16.5,9.4,6.3,11.8,1463.5,880,2313,9.85,6.95,14.15,7.73,8.49,8.08,0.4293,72100,72270,Sarthe,"Courcelles-la-Forêt, Sarthe, France",0.28,-1.71,
Courcemont,1655,1049,2391,1430,572,2861,11.1,7.8,16.6,9,7.5,13.5,1542.5,810.5,2626,10.05,7.65,15.05,8.05,7.55,7.82,0.4951,72101,72110,Sarthe,"Courcemont, Sarthe, France",0.291,-1.9,
Courcival,1620,1019,2316,1366,629,2731,11.7,7.9,19.2,10.1,7.4,13.4,1493,824,2523.5,10.9,7.65,16.3,8.67,8.87,8.76,0.3464,72102,72110,Sarthe,"Courcival, Sarthe, France",0.201,-12.63,
Courdemanche,1515,1091,2149,1119,447,2237,9.5,6.6,17,9.6,7.4,12.9,1317,769,2193,9.55,7,14.95,7.52,10.29,8.70,0.4293,72103,72150,Sarthe,"Courdemanche, Sarthe, France",0.242,0.99,
Courgains,1200,684,2351,1184,473,2357,9.3,5.8,14.9,9.1,6.8,14.1,1192,578.5,2354,9.2,6.3,14.5,9.30,9.22,9.26,0.423,72104,72260,Sarthe,"Courgains, Sarthe, France",0.296,0.52,
Courgenard,1572,1057,2126,1259,504,2436,8.9,6.7,10.2,8.9,6.3,12.3,1415.5,780.5,2281,8.9,6.5,11.25,6.79,8.48,7.55,0.3627,72105,72320,Sarthe,"Courgenard, Sarthe, France",0.268,-8.18,
Courtillers,1886,998,2294,1719,688,2804,10.9,7.5,18.7,9.3,6.8,12.3,1802.5,843,2549,10.1,7.15,15.5,6.94,6.49,6.72,0.4193,72106,72300,Sarthe,"Courtillers, Sarthe, France",0.353,-2.47,
Crannes-en-Champagne,1727,988,2440,1643,657,2672,11.5,8,16.2,11.4,8.9,15.1,1685,822.5,2556,11.45,8.45,15.65,7.99,8.33,8.15,0.4057,72107,72540,Sarthe,"Crannes-en-Champagne, Sarthe, France",0.268,-3.12,
Crissé,1696,1201,2214,1290,516,2580,10.4,6.8,17.4,8.2,6.1,11,1493,858.5,2397,9.3,6.45,14.2,7.36,7.63,7.47,0.4161,72109,72140,Sarthe,"Crissé, Sarthe, France",0.237,-9.93,
Crosmières,1861,998,2278,1485,594,2279,10.4,7.3,18.7,9.7,6.9,12.7,1673,796,2278.5,10.05,7.1,15.7,6.71,7.84,7.21,0.4756,72110,72200,Sarthe,"Crosmières, Sarthe, France",0.345,-4.89,
Cures,1714,1223,2236,1474,590,2927,10.6,8.7,14.4,10,6.6,12,1594,906.5,2581.5,10.3,7.65,13.2,7.42,8.14,7.75,0.3528,72111,72240,Sarthe,"Cures, Sarthe, France",0.294,-0.81,
Dangeul,1654,1060,2352,1361,603,2723,9.6,6.8,16.5,8.9,6.7,12,1507.5,831.5,2537.5,9.25,6.75,14.25,6.96,7.85,7.36,0.4147,72112,72260,Sarthe,"Dangeul, Sarthe, France",0.245,0.84,
Degré,2510,1440,3463,1711,881,2494,10.4,8.5,13.4,11,8.5,13.5,2110.5,1160.5,2978.5,10.7,8.5,13.45,4.97,7.71,6.08,0.4307,72113,72550,Sarthe,"Degré, Sarthe, France",0.326,-6.16,
Dehault,1558,959,2245,1347,539,2694,9.2,7,11.9,,,,1452.5,749,2469.5,4.6,3.5,5.95,7.09,0.00,3.80,0.3179,72114,72400,Sarthe,"Dehault, Sarthe, France",0.259,-7.75,
Dissay-sous-Courcillon,2066,1277,2967,1303,521,2467,11.2,8.6,15.1,10.1,7.1,13,1684.5,899,2717,10.65,7.85,14.05,6.51,9.30,7.59,0.4639,72115,72500,Sarthe,"Dissay-sous-Courcillon, Sarthe, France",0.305,0,
Dollon,1667,1039,2398,1300,520,2373,10.5,7.9,17.4,9.1,6.7,12.7,1483.5,779.5,2385.5,9.8,7.3,15.05,7.56,8.40,7.93,0.421,72118,72390,Sarthe,"Dollon, Sarthe, France",0.27,-3.37,
Domfront-en-Champagne,1718,1223,2241,1718,809,3124,11.3,7.9,14.8,10.5,8.4,12.3,1718,1016,2682.5,10.9,8.15,13.55,7.89,7.33,7.61,0.4319,72119,72240,Sarthe,"Domfront-en-Champagne, Sarthe, France",0.358,3.41,
Doucelles,1658,1065,2354,1368,611,2289,11.4,8.2,15.6,10.1,8.6,12.6,1513,838,2321.5,10.75,8.4,14.1,8.25,8.86,8.53,0.3635,72120,72170,Sarthe,"Doucelles, Sarthe, France",0.243,-10,
Douillet,1614,1122,2191,1191,485,2383,10.6,7.3,17,8.5,6.5,11.8,1402.5,803.5,2287,9.55,6.9,14.4,7.88,8.56,8.17,0.3455,72121,72130,Sarthe,"Douillet, Sarthe, France",0.228,-4.5,
Duneau,1520,978,2215,1610,664,2776,10,5.8,17,9.2,6.6,11.7,1565,821,2495.5,9.6,6.2,14.35,7.89,6.86,7.36,0.3924,72122,72160,Sarthe,"Duneau, Sarthe, France",0.332,2.77,
Dureil,1879,1067,2931,1491,597,2826,11.7,7.9,19.2,10.1,7.4,13.4,1685,832,2878.5,10.9,7.65,16.3,7.47,8.13,7.76,0.3835,72123,72270,Sarthe,"Dureil, Sarthe, France",0.139,-14.08,
Écommoy,1583,1060,2216,1616,730,2747,10.9,7.4,18.6,11,7.9,15.1,1599.5,895,2481.5,10.95,7.65,16.85,8.26,8.17,8.22,0.4631,72124,72220,Sarthe,"Écommoy, Sarthe, France",0.381,4.02,
Écorpain,2126,1286,3096,1259,503,2517,11.9,8.3,18.6,11.5,9.8,14.4,1692.5,894.5,2806.5,11.7,9.05,16.5,6.72,10.96,8.30,0.4312,72125,72120,Sarthe,"Écorpain, Sarthe, France",0.233,3.05,
Épineu-le-Chevreuil,1708,1242,2221,1161,464,2321,9.9,6.8,17.5,8.2,5.9,12.2,1434.5,853,2271,9.05,6.35,14.85,6.96,8.48,7.57,0.3938,72126,72540,Sarthe,"Épineu-le-Chevreuil, Sarthe, France",0.196,-3.65,
Étival-lès-le-Mans,1665,887,2404,1802,907,2653,11,8.2,14.8,11.6,9.4,14.7,1733.5,897,2528.5,11.3,8.8,14.75,7.93,7.72,7.82,0.4686,72127,72700,Sarthe,"Étival-lès-le-Mans, Sarthe, France",0.37,-4.93,
Val-d'Étangson,1611,839,2293,1238,495,2474,10.8,7.6,16.4,11.4,9.7,14.3,1424.5,667,2383.5,11.1,8.65,15.35,8.04,11.05,9.35,0.3889,72128,72120,Sarthe,"Val-d'Étangson, Sarthe, France",0.257,0,
Fatines,1506,1052,2198,1764,995,2438,10.4,8,15.6,11,8.2,14.9,1635,1023.5,2318,10.7,8.1,15.25,8.29,7.48,7.85,0.4601,72129,72470,Sarthe,"Fatines, Sarthe, France",0.356,7.61,
Fay,1725,947,2444,2020,808,2964,12.7,10.8,15.8,11.4,8.5,13.2,1872.5,877.5,2704,12.05,9.65,14.5,8.83,6.77,7.72,0.3995,72130,72550,Sarthe,"Fay, Sarthe, France",0.356,14.46,
Fercé-sur-Sarthe,1603,1230,2059,1452,581,2359,10.4,7.2,18,9.5,7.2,11.9,1527.5,905.5,2209,9.95,7.2,14.95,7.79,7.85,7.82,0.4967,72131,72430,Sarthe,"Fercé-sur-Sarthe, Sarthe, France",0.278,-1.87,
La Ferté-Bernard,1934,925,3547,1589,647,2793,10.3,7,16.7,10,6.1,13,1761.5,786,3170,10.15,6.55,14.85,6.39,7.55,6.91,0.4517,72132,72400,Sarthe,"La Ferté-Bernard, Sarthe, France",0.354,-0.89,
Fillé,1663,882,2406,1855,742,3130,12,8.9,18.2,11.6,9.5,14.8,1759,812,2768,11.8,9.2,16.5,8.66,7.50,8.05,0.4826,72133,72210,Sarthe,"Fillé, Sarthe, France",0.371,2.19,
Flée,1505,1057,2164,1300,568,2599,10.2,8.4,12.2,9.5,6.3,10.9,1402.5,812.5,2381.5,9.85,7.35,11.55,8.13,8.77,8.43,0.4428,72134,72500,Sarthe,"Flée, Sarthe, France",0.249,-3.31,
La Fontaine-st-Martin,1579,1181,2040,1327,531,2412,10.2,7.2,18.3,9.1,6.9,11.2,1453,856,2226,9.65,7.05,14.75,7.75,8.23,7.97,0.4534,72135,72330,Sarthe,"La Fontaine-st-Martin, Sarthe, France",0.275,-3.38,
Fontenay-sur-Vègre,1894,1083,2933,1239,496,2470,10.6,8.7,14.4,10.4,8.7,11.9,1566.5,789.5,2701.5,10.5,8.7,13.15,6.72,10.07,8.04,0.4163,72136,72350,Sarthe,"Fontenay-sur-Vègre, Sarthe, France",0.268,-5.5,
Villeneuve-en-Perseigne,1519,1024,2060,1512,605,3024,10.1,6.9,16.2,9.2,7.8,14,1515.5,814.5,2542,9.65,7.35,15.1,7.98,7.30,7.64,0.417,72137,72600,Sarthe,"Villeneuve-en-Perseigne, Sarthe, France",0.367,-1.4,
Fresnay-sur-Sarthe,1235,737,2296,1042,417,2083,9.4,6.5,13.5,9.5,6.7,12.8,1138.5,577,2189.5,9.45,6.6,13.15,9.13,10.94,9.96,0.3781,72138,72130,Sarthe,"Fresnay-sur-Sarthe, Sarthe, France",0.274,-3.87,
Fyé,1620,1109,2213,1261,504,1989,10.3,8.5,13.5,10.3,8.1,13.2,1440.5,806.5,2101,10.3,8.3,13.35,7.63,9.80,8.58,0.4342,72139,72610,Sarthe,"Fyé, Sarthe, France",0.308,-0.9,
